id,filename,title,type,era,status,review_status,runtime_visibility,manual_visibility,lab,domains,source_docs,media_assets
HIST-000,CASE_HIST_000_DATA_TRAIL_OVERVIEW.md,The Data Trail Overview,historical_case,1970s-present,first_wave_review_candidate,normalized_draft,hidden_until_reviewed,draft_outline,LAB_CASE_DATA_TRAIL_OVERVIEW,data-history;systems-history;database-literacy;ai-literacy,Case Studies Core Track.docx;DottalkEd.docx,MEDIA_CASE_DATA_TRAIL_OVERVIEW_V1
HIST-020,CASE_HIST_020_JUMPS_73C_ARMY_SYSTEM.md,JUMPS / 73C Army System,historical_case,1983-1985,first_wave_review_candidate,needs_fact_review,hidden_until_reviewed,draft_outline,LAB_CASE_JUMPS_73C,batch-processing;structured-data;forms;finance;mainframe;workflow,Army_73C.docx;JUMPS in 1983 ran on IBM mainframes.docx,MEDIA_CASE_JUMPS_BOARD_V1
HIST-030,CASE_HIST_030_UNISYS_CODASYL_ALCOA.md,Unisys / CODASYL at ALCOA,historical_case,1970s-1980s,first_wave_review_candidate,needs_source_review,hidden_until_reviewed,draft_outline,LAB_CASE_CODASYL_SETS_RINGS,codasyl;network-database;sets;rings;industrial-data;relations,unisys.docx,MEDIA_CASE_CODASYL_ALCOA_V1
HIST-040,CASE_HIST_040_XBASE_MAJOR_PLATFORM.md,xBase as a Major Platform,historical_case,1980s-2000s,first_wave_review_candidate,needs_source_review,hidden_until_reviewed,draft_outline,LAB_CASE_XBASE_PLATFORM,xbase;dbase;clipper;foxpro;visual-foxpro;access;odbc;excel,FoxPro → DotTalkpp crosswalk (1).docx;DottalkEd.docx,MEDIA_CASE_XBASE_PLATFORM_V1
HIST-090,CASE_HIST_090_DOTTALK_LABTALK_AI_FUTURE.md,DotTalk++ / LabTalk and the AI Future,historical_case,present-future,first_wave_review_candidate,normalized_draft,hidden_until_reviewed,draft_outline,LAB_CASE_DOTTALK_AI_FUTURE,dottalkpp;labtalk;ai-literacy;database-literacy;observability;help;metadata,DottalkEd.docx;Case Studies Core Track.docx,MEDIA_CASE_DOTTALK_LABTALK_AI_FUTURE_V1
HIST-010,CASE_HIST_010_COBOL_CONNECTED_COMPUTERS.md,COBOL and Connected Computers,historical_case,1950s-1970s,stub_registered,needs_source_review,hidden_until_reviewed,outline_only,,cobol;mainframe;business-data;early-networking,to_be_attached_or_reviewed,MEDIA_CASE_COBOL_CONNECTED_COMPUTERS_V1
HIST-050,CASE_HIST_050_EARTHKIDS_CAREPAX.md,Earthkids to CAREPAX,historical_case,1990s,stub_registered,needs_source_review,hidden_until_reviewed,outline_only,,daycare-administration;receivables;vaccination-scheduling;adoption;market-fit,to_be_attached_or_reviewed,MEDIA_CASE_EARTHKIDS_CAREPAX_V1
HIST-060,CASE_HIST_060_TITLESCAN_PAXON_DATABASE_TRANSFERS.md,TitleSCAN / Paxon Database Transfers,historical_case,1990s-2000s,stub_registered,needs_source_review,hidden_until_reviewed,outline_only,,title-records;document-indexing;database-transfer;search;conversion,PAXON.docx,MEDIA_CASE_TRANSFER_ERP_INDUSTRIAL_V1
HIST-070,CASE_HIST_070_ERP_SQL_AUTOID_INDUSTRIAL_SCALE.md,"ERP, SQL, Auto-ID, and Industrial Scale",historical_case,1990s-2010s,stub_registered,needs_source_review,hidden_until_reviewed,outline_only,,erp;sql;sap;barcode;auto-id;industrial-workflow,to_be_attached_or_reviewed,MEDIA_CASE_TRANSFER_ERP_INDUSTRIAL_V1
HIST-080,CASE_HIST_080_HYNIX_SEMICONDUCTOR_PROCESS_DATA.md,HYNIX Semiconductor Process Data,historical_case,2000s-2010s,stub_registered,needs_source_review,hidden_until_reviewed,outline_only,,semiconductor;process-data;yield;manufacturing;traceability,to_be_attached_or_reviewed,MEDIA_CASE_HYNIX_PROCESS_DATA_V1
ENG-010,CASE_ENG_010_INDEX_NAVIGATION_CDX_LMDB.md,Indexed Navigation: CDX / LMDB,engine_case,1985-present,runtime_lab_candidate,needs_runtime_proof_attachment,hidden_until_reviewed,draft_outline,LAB_CASE_INDEX_NAVIGATION,xbase;indexes;cdx;lmdb;logical-order,Case Studies Core Track.docx,
ENG-020,CASE_ENG_020_SEEK_VS_SCAN.md,SEEK vs SCAN,engine_case,1985-present,runtime_lab_candidate,needs_runtime_proof_attachment,hidden_until_reviewed,draft_outline,LAB_CASE_SEEK_VS_SCAN,seek;scan;predicate;index;execution-plan,Case Studies Core Track.docx,
ENG-030,CASE_ENG_030_BUFFERING_COMMIT_LIFECYCLE.md,Buffering and COMMIT Lifecycle,engine_case,1990s-present,runtime_lab_candidate,needs_runtime_proof_attachment,hidden_until_reviewed,draft_outline,LAB_CASE_BUFFERING_COMMIT,buffering;commit;rollback;transaction;lmdb,Case Studies Core Track.docx,
ENG-040,CASE_ENG_040_METADATA_DATA_DICTIONARY.md,Metadata and Data Dictionary,engine_case,1980s-present,runtime_lab_candidate,needs_runtime_proof_attachment,hidden_until_reviewed,draft_outline,LAB_CASE_METADATA_DICTIONARY,metadata;catalog;help;commands;functions;data-dictionary,Case Studies Core Track.docx,
ENG-050,CASE_ENG_050_FILE_ENGINE_SEPARATION.md,File-Based DB to Engine-Based DB,engine_case,1980s-present,runtime_lab_candidate,needs_runtime_proof_attachment,hidden_until_reviewed,draft_outline,LAB_CASE_FILE_ENGINE_SEPARATION,dbf;xdbf;cdx;lmdb;storage-abstraction,Case Studies Core Track.docx,
ENG-060,CASE_ENG_060_NATIVE_CDX_VS_LMDB_BACKEND.md,Native CDX vs LMDB-Backed CDX,engine_case,2025-present,runtime_lab_candidate,runtime_proof_available,hidden_until_reviewed,draft_outline,LAB_CASE_NATIVE_CDX_VS_LMDB,xbase;indexes;cdx;lmdb;ramfs;run8;backend;in-memory,AIF_043_M1_PROOF_GREEN_CLOSEOUT_V1_20260722.md,
